,game_id,event,player_name
187,991fb6b1-04ed-49bd-9e6e-8c61d9427ddb,World Championship 5th,"Steinitz, William"
188,3c60325c-2b5f-41f5-abd5-ee8fab7f4cda,FIDE WCh KO,"Tiviakov,S"
189,d484da2d-2299-4a94-820f-b8673f173031,FIDE WCh KO,"Grischuk,A"
190,756bd505-2427-416a-b49a-3844b6a51f23,FIDE-Wch k.o.,"Nisipeanu, Liviu Dieter"
191,03098c35-6489-4b4d-bb57-b8dd555c3c04,FIDE-Wch k.o. g/25+10,"Topalov, Veselin"
192,f1c2d31b-82cf-4496-8509-4e9bbf7aa1b8,FIDE-Wch k.o.,"Khalifman, Alexander"
193,d73df018-bdb1-4ef1-871e-93fa3f5a847d,World Championship 2nd,"Chigorin, Mikhail"
194,265e237d-8f8a-4049-9432-2a0b45c1c802,WCh,"Topalov,V"
195,f12ca7be-afb6-40ea-af9c-8d0b20da2441,FIDE WCh KO,"Mahjoob,M"
196,7b9232b3-60fa-4b75-bebf-5a13f4ae1ce7,FIDE WCh KO,"Bologan,V"
197,7add920f-545c-4d2a-b3c7-d2574b13c9cc,FIDE WCh KO,"Aronian,L"
198,d72318b4-11a6-4513-99e9-b84704a0f583,FIDE WCh KO,"Kharlov,A"
199,5bc21866-5bd5-4a06-b106-2dbb44b1aa9d,FIDE WCh KO,"Dominguez,L"
200,24615df1-2a1e-41bf-897b-b1547510c735,FIDE WCh KO,"Bareev,E"
201,5a8a2df5-86d0-4ffa-8635-af1ea10f40d1,FIDE-Wch k.o. g/25+10,"Tkachiev, Vladislav"
202,93a10f01-5d8a-4570-8159-53fcb36ef96e,FIDE-Wch k.o.,"Khalifman, Alexander"
203,502a87ed-a19a-41f8-9c46-47a9a25c166b,FIDE-Wch k.o.,"Anand, Viswanathan"
204,4034cc8a-6293-4aed-ae04-5eab96bd5e38,World Championship 4th,"Steinitz, William"
205,f7507a75-a0c4-4d8b-8a3c-7997bca7214a,FIDE WCh KO,"Dolmatov,S"
206,7add920f-545c-4d2a-b3c7-d2574b13c9cc,FIDE WCh KO,"Carlsen,M"
